List,gaussian_mixture,kmeans
r31,33.3%,66.7%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,60.0%,31.4%
r4,0.0%,0.0%
r33,85.7%,100.0%
r12,0.0%,40.0%
r13,45.7%,42.9%
r6,97.1%,97.1%
r29,13.5%,0.0%
r3,80.0%,0.0%
r24,7.5%,2.5%
r32,100.0%,100.0%
r16,0.0%,3.3%
r28,42.2%,42.2%
r25,63.3%,13.3%
r23,0.0%,0.0%
r18,20.0%,13.3%
r11,4.4%,8.9%
r27,100.0%,0.0%
r5,2.5%,5.0%
r17,6.7%,0.0%
r19,100.0%,100.0%
r8,96.7%,93.3%
r1,16.7%,16.7%
r30,6.7%,0.0%
r22,2.4%,9.5%
r26,6.7%,6.7%
r9,22.7%,31.8%
r14,64.4%,0.0%
r2,5.0%,32.5%
r20,15.0%,17.5%
r15,0.0%,26.7%
Total,32.6%,26.6%
