List,gaussian_mixture,kmeans
r31,66.7%,50.0%
r7,0.0%,0.0%
r10,20.0%,40.0%
r21,0.0%,0.0%
r34,57.1%,5.7%
r4,20.0%,40.0%
r33,100.0%,100.0%
r12,13.3%,40.0%
r13,31.4%,5.7%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,5.0%,7.5%
r32,100.0%,100.0%
r16,0.0%,40.0%
r28,24.4%,75.6%
r25,3.3%,23.3%
r23,0.0%,0.0%
r18,30.0%,6.7%
r11,20.0%,8.9%
r27,96.0%,96.0%
r5,2.5%,27.5%
r17,6.7%,0.0%
r19,0.0%,0.0%
r8,93.3%,0.0%
r1,70.0%,70.0%
r30,13.3%,16.7%
r22,2.4%,9.5%
r26,0.0%,6.7%
r9,0.0%,0.0%
r14,57.8%,0.0%
r2,47.5%,0.0%
r20,17.5%,50.0%
r15,0.0%,26.7%
Total,32.4%,29.8%
