List,gaussian_mixture,kmeans
r31,66.7%,33.3%
r7,0.0%,100.0%
r10,20.0%,20.0%
r21,0.0%,25.0%
r34,11.4%,57.1%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,3.3%,6.7%
r13,45.7%,17.1%
r6,97.1%,0.0%
r29,13.5%,86.5%
r3,0.0%,6.7%
r24,2.5%,17.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,24.4%,75.6%
r25,6.7%,10.0%
r23,0.0%,0.0%
r18,10.0%,6.7%
r11,15.6%,20.0%
r27,96.0%,96.0%
r5,7.5%,27.5%
r17,3.3%,16.7%
r19,100.0%,0.0%
r8,93.3%,93.3%
r1,0.0%,53.3%
r30,40.0%,13.3%
r22,0.0%,14.3%
r26,0.0%,0.0%
r9,9.1%,0.0%
r14,62.2%,0.0%
r2,47.5%,2.5%
r20,67.5%,37.5%
r15,26.7%,26.7%
Total,29.0%,34.7%
