List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,100.0%
r10,20.0%,40.0%
r21,0.0%,75.0%
r34,2.9%,8.6%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,20.0%,6.7%
r13,94.3%,94.3%
r6,91.4%,91.4%
r29,9.6%,0.0%
r3,6.7%,6.7%
r24,15.0%,10.0%
r32,0.0%,0.0%
r16,10.0%,46.7%
r28,0.0%,57.8%
r25,83.3%,83.3%
r23,22.2%,16.7%
r18,16.7%,20.0%
r11,2.2%,73.3%
r27,0.0%,96.0%
r5,27.5%,27.5%
r17,33.3%,16.7%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,0.0%
r30,20.0%,20.0%
r22,4.8%,19.0%
r26,0.0%,40.0%
r9,100.0%,100.0%
r14,4.4%,64.4%
r2,32.5%,32.5%
r20,75.0%,75.0%
r15,0.0%,0.0%
Total,28.5%,43.4%
