List,gaussian_mixture,kmeans
r31,0.0%,33.3%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,75.0%
r34,25.7%,0.0%
r4,10.0%,10.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,45.7%,42.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,0.0%,6.7%
r24,2.5%,15.0%
r32,100.0%,100.0%
r16,40.0%,36.7%
r28,24.4%,0.0%
r25,0.0%,66.7%
r23,0.0%,0.0%
r18,6.7%,6.7%
r11,13.3%,11.1%
r27,96.0%,96.0%
r5,30.0%,25.0%
r17,26.7%,43.3%
r19,100.0%,0.0%
r8,90.0%,0.0%
r1,70.0%,70.0%
r30,0.0%,23.3%
r22,14.3%,2.4%
r26,0.0%,53.3%
r9,54.5%,31.8%
r14,55.6%,28.9%
r2,47.5%,0.0%
r20,25.0%,57.5%
r15,26.7%,30.0%
Total,36.5%,28.8%
