List,gaussian_mixture,kmeans
r31,33.3%,50.0%
r7,0.0%,0.0%
r10,40.0%,20.0%
r21,0.0%,0.0%
r34,31.4%,57.1%
r4,0.0%,20.0%
r33,85.7%,100.0%
r12,43.3%,40.0%
r13,8.6%,2.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,6.7%,80.0%
r24,2.5%,12.5%
r32,100.0%,100.0%
r16,0.0%,3.3%
r28,75.6%,75.6%
r25,10.0%,3.3%
r23,11.1%,0.0%
r18,3.3%,20.0%
r11,8.9%,15.6%
r27,96.0%,96.0%
r5,25.0%,5.0%
r17,50.0%,0.0%
r19,0.0%,0.0%
r8,0.0%,93.3%
r1,60.0%,76.7%
r30,10.0%,6.7%
r22,4.8%,2.4%
r26,6.7%,46.7%
r9,0.0%,0.0%
r14,51.1%,53.3%
r2,45.0%,47.5%
r20,17.5%,37.5%
r15,0.0%,0.0%
Total,29.9%,35.6%
