List,gaussian_mixture,kmeans
r31,66.7%,33.3%
r7,0.0%,0.0%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,60.0%,57.1%
r4,10.0%,20.0%
r33,0.0%,100.0%
r12,0.0%,36.7%
r13,37.1%,37.1%
r6,97.1%,97.1%
r29,13.5%,86.5%
r3,80.0%,6.7%
r24,10.0%,5.0%
r32,0.0%,100.0%
r16,0.0%,10.0%
r28,24.4%,24.4%
r25,6.7%,3.3%
r23,5.6%,16.7%
r18,30.0%,10.0%
r11,13.3%,15.6%
r27,100.0%,96.0%
r5,7.5%,2.5%
r17,53.3%,6.7%
r19,0.0%,100.0%
r8,96.7%,96.7%
r1,70.0%,73.3%
r30,40.0%,13.3%
r22,14.3%,2.4%
r26,13.3%,26.7%
r9,0.0%,22.7%
r14,0.0%,60.0%
r2,0.0%,2.5%
r20,0.0%,25.0%
r15,0.0%,26.7%
Total,24.0%,37.8%
