List,gaussian_mixture,kmeans
r31,50.0%,16.7%
r7,0.0%,0.0%
r10,20.0%,40.0%
r21,0.0%,0.0%
r34,31.4%,31.4%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,3.3%,40.0%
r13,31.4%,40.0%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,0.0%
r24,5.0%,27.5%
r32,100.0%,100.0%
r16,3.3%,0.0%
r28,24.4%,0.0%
r25,10.0%,3.3%
r23,0.0%,0.0%
r18,6.7%,16.7%
r11,26.7%,13.3%
r27,96.0%,96.0%
r5,0.0%,25.0%
r17,3.3%,3.3%
r19,0.0%,0.0%
r8,93.3%,93.3%
r1,70.0%,26.7%
r30,13.3%,10.0%
r22,9.5%,0.0%
r26,0.0%,0.0%
r9,0.0%,0.0%
r14,44.4%,24.4%
r2,47.5%,47.5%
r20,42.5%,50.0%
r15,26.7%,0.0%
Total,28.6%,29.3%
