List,gaussian_mixture,kmeans
r31,66.7%,66.7%
r7,0.0%,100.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,62.9%,60.0%
r4,0.0%,10.0%
r33,0.0%,0.0%
r12,10.0%,36.7%
r13,40.0%,37.1%
r6,97.1%,0.0%
r29,13.5%,13.5%
r3,0.0%,0.0%
r24,5.0%,15.0%
r32,100.0%,100.0%
r16,0.0%,10.0%
r28,24.4%,24.4%
r25,10.0%,26.7%
r23,0.0%,22.2%
r18,23.3%,10.0%
r11,15.6%,13.3%
r27,96.0%,96.0%
r5,27.5%,2.5%
r17,0.0%,53.3%
r19,100.0%,0.0%
r8,93.3%,0.0%
r1,0.0%,73.3%
r30,36.7%,43.3%
r22,0.0%,2.4%
r26,13.3%,20.0%
r9,31.8%,0.0%
r14,55.6%,62.2%
r2,45.0%,37.5%
r20,32.5%,25.0%
r15,0.0%,26.7%
Total,30.0%,30.0%
