List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,73.3%,26.7%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,28.6%,31.4%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,60.0%,40.0%
r13,40.0%,34.3%
r6,54.3%,51.4%
r29,73.1%,0.0%
r3,0.0%,20.0%
r24,15.0%,2.5%
r32,100.0%,100.0%
r16,20.0%,20.0%
r28,24.4%,24.4%
r25,63.3%,73.3%
r23,0.0%,27.8%
r18,30.0%,33.3%
r11,31.1%,8.9%
r27,96.0%,96.0%
r5,25.0%,25.0%
r17,3.3%,46.7%
r19,100.0%,0.0%
r8,83.3%,83.3%
r1,3.3%,73.3%
r30,43.3%,43.3%
r22,19.0%,9.5%
r26,0.0%,46.7%
r9,68.2%,0.0%
r14,26.7%,0.0%
r2,47.5%,47.5%
r20,37.5%,37.5%
r15,0.0%,26.7%
Total,41.1%,35.0%
