List,gaussian_mixture,kmeans
r31,16.7%,16.7%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,60.0%,60.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,36.7%,36.7%
r13,37.1%,37.1%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,13.3%,6.7%
r24,2.5%,7.5%
r32,100.0%,100.0%
r16,3.3%,0.0%
r28,37.8%,37.8%
r25,53.3%,50.0%
r23,0.0%,0.0%
r18,16.7%,20.0%
r11,13.3%,15.6%
r27,96.0%,0.0%
r5,7.5%,5.0%
r17,53.3%,3.3%
r19,100.0%,100.0%
r8,93.3%,96.7%
r1,70.0%,0.0%
r30,33.3%,33.3%
r22,2.4%,2.4%
r26,13.3%,13.3%
r9,0.0%,0.0%
r14,51.1%,22.2%
r2,17.5%,42.5%
r20,22.5%,0.0%
r15,26.7%,26.7%
Total,36.9%,29.8%
