List,gaussian_mixture,kmeans
r31,50.0%,16.7%
r7,76.7%,23.3%
r10,40.0%,20.0%
r21,75.0%,75.0%
r34,60.0%,45.7%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,10.0%
r13,40.0%,40.0%
r6,45.7%,42.9%
r29,36.5%,80.8%
r3,0.0%,20.0%
r24,15.0%,15.0%
r32,96.7%,96.7%
r16,3.3%,40.0%
r28,24.4%,75.6%
r25,83.3%,83.3%
r23,5.6%,16.7%
r18,23.3%,20.0%
r11,22.2%,24.4%
r27,4.0%,100.0%
r5,30.0%,42.5%
r17,3.3%,3.3%
r19,100.0%,0.0%
r8,83.3%,0.0%
r1,70.0%,70.0%
r30,33.3%,26.7%
r22,4.8%,4.8%
r26,40.0%,40.0%
r9,100.0%,0.0%
r14,24.4%,35.6%
r2,52.5%,52.5%
r20,72.5%,20.0%
r15,86.7%,0.0%
Total,44.7%,39.5%
