List,gaussian_mixture,kmeans
r31,16.7%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,0.0%
r34,5.7%,28.6%
r4,20.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,40.0%,42.9%
r6,0.0%,54.3%
r29,5.8%,36.5%
r3,20.0%,6.7%
r24,17.5%,17.5%
r32,96.7%,96.7%
r16,33.3%,13.3%
r28,42.2%,75.6%
r25,0.0%,83.3%
r23,5.6%,5.6%
r18,20.0%,23.3%
r11,22.2%,22.2%
r27,96.0%,4.0%
r5,42.5%,42.5%
r17,6.7%,6.7%
r19,0.0%,100.0%
r8,83.3%,83.3%
r1,70.0%,70.0%
r30,3.3%,20.0%
r22,0.0%,7.1%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,24.4%,31.1%
r2,25.0%,12.5%
r20,47.5%,47.5%
r15,66.7%,80.0%
Total,35.5%,43.6%
