List,gaussian_mixture,kmeans
r31,0.0%,50.0%
r7,76.7%,76.7%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,68.6%,22.9%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,54.3%,48.6%
r6,71.4%,2.9%
r29,36.5%,38.5%
r3,20.0%,20.0%
r24,5.0%,2.5%
r32,96.7%,3.3%
r16,36.7%,33.3%
r28,75.6%,33.3%
r25,3.3%,0.0%
r23,22.2%,27.8%
r18,20.0%,20.0%
r11,22.2%,24.4%
r27,96.0%,96.0%
r5,2.5%,25.0%
r17,10.0%,13.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,0.0%,30.0%
r22,4.8%,7.1%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,46.7%,26.7%
r2,45.0%,45.0%
r20,20.0%,72.5%
r15,0.0%,13.3%
Total,41.2%,36.3%
