List,gaussian_mixture,kmeans
r31,0.0%,83.3%
r7,73.3%,73.3%
r10,40.0%,0.0%
r21,0.0%,0.0%
r34,22.9%,22.9%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,48.6%,48.6%
r6,45.7%,45.7%
r29,40.4%,40.4%
r3,6.7%,6.7%
r24,12.5%,17.5%
r32,100.0%,0.0%
r16,23.3%,43.3%
r28,42.2%,57.8%
r25,80.0%,0.0%
r23,0.0%,5.6%
r18,13.3%,6.7%
r11,31.1%,22.2%
r27,96.0%,96.0%
r5,25.0%,25.0%
r17,6.7%,26.7%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,6.7%,36.7%
r22,9.5%,4.8%
r26,60.0%,40.0%
r9,0.0%,100.0%
r14,46.7%,48.9%
r2,45.0%,45.0%
r20,0.0%,20.0%
r15,80.0%,86.7%
Total,39.7%,39.9%
