List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,100.0%
r10,80.0%,80.0%
r21,25.0%,75.0%
r34,14.3%,14.3%
r4,10.0%,10.0%
r33,0.0%,100.0%
r12,6.7%,40.0%
r13,94.3%,94.3%
r6,91.4%,2.9%
r29,100.0%,100.0%
r3,6.7%,13.3%
r24,17.5%,10.0%
r32,0.0%,0.0%
r16,36.7%,33.3%
r28,42.2%,0.0%
r25,83.3%,83.3%
r23,5.6%,27.8%
r18,10.0%,16.7%
r11,2.2%,2.2%
r27,96.0%,96.0%
r5,7.5%,55.0%
r17,33.3%,6.7%
r19,0.0%,0.0%
r8,80.0%,3.3%
r1,0.0%,0.0%
r30,0.0%,0.0%
r22,21.4%,14.3%
r26,40.0%,0.0%
r9,100.0%,100.0%
r14,46.7%,17.8%
r2,60.0%,60.0%
r20,75.0%,75.0%
r15,0.0%,0.0%
Total,37.9%,37.0%
