List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,76.7%,100.0%
r10,0.0%,60.0%
r21,75.0%,75.0%
r34,0.0%,0.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,94.3%,94.3%
r6,97.1%,97.1%
r29,90.4%,100.0%
r3,13.3%,6.7%
r24,2.5%,7.5%
r32,100.0%,0.0%
r16,23.3%,33.3%
r28,57.8%,42.2%
r25,83.3%,83.3%
r23,16.7%,11.1%
r18,16.7%,16.7%
r11,73.3%,73.3%
r27,96.0%,0.0%
r5,25.0%,25.0%
r17,30.0%,10.0%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,0.0%,96.7%
r30,20.0%,3.3%
r22,7.1%,0.0%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,57.8%,0.0%
r2,32.5%,60.0%
r20,20.0%,75.0%
r15,93.3%,93.3%
Total,47.1%,48.4%
