List,gaussian_mixture,kmeans
r31,0.0%,66.7%
r7,26.7%,73.3%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,57.1%,20.0%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,26.7%,40.0%
r13,94.3%,0.0%
r6,91.4%,91.4%
r29,100.0%,100.0%
r3,0.0%,6.7%
r24,17.5%,15.0%
r32,100.0%,100.0%
r16,3.3%,26.7%
r28,42.2%,42.2%
r25,6.7%,80.0%
r23,22.2%,11.1%
r18,23.3%,16.7%
r11,73.3%,2.2%
r27,4.0%,96.0%
r5,50.0%,50.0%
r17,30.0%,10.0%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,96.7%,0.0%
r30,23.3%,0.0%
r22,2.4%,16.7%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,62.2%,0.0%
r2,32.5%,32.5%
r20,22.5%,72.5%
r15,3.3%,93.3%
Total,43.1%,44.2%
