List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,73.3%,76.7%
r10,0.0%,0.0%
r21,25.0%,25.0%
r34,14.3%,2.9%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,16.7%
r13,94.3%,94.3%
r6,45.7%,97.1%
r29,90.4%,100.0%
r3,0.0%,6.7%
r24,15.0%,5.0%
r32,0.0%,0.0%
r16,6.7%,30.0%
r28,42.2%,57.8%
r25,83.3%,83.3%
r23,27.8%,22.2%
r18,3.3%,16.7%
r11,2.2%,73.3%
r27,0.0%,4.0%
r5,55.0%,55.0%
r17,36.7%,10.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,96.7%,96.7%
r30,0.0%,20.0%
r22,16.7%,4.8%
r26,40.0%,60.0%
r9,100.0%,0.0%
r14,64.4%,2.2%
r2,60.0%,32.5%
r20,22.5%,72.5%
r15,0.0%,0.0%
Total,40.3%,42.9%
