List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,76.7%,76.7%
r10,20.0%,40.0%
r21,0.0%,75.0%
r34,45.7%,48.6%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,10.0%
r13,51.4%,40.0%
r6,91.4%,91.4%
r29,36.5%,42.3%
r3,20.0%,20.0%
r24,5.0%,2.5%
r32,96.7%,96.7%
r16,10.0%,40.0%
r28,33.3%,42.2%
r25,83.3%,3.3%
r23,11.1%,11.1%
r18,10.0%,20.0%
r11,24.4%,48.9%
r27,100.0%,100.0%
r5,42.5%,12.5%
r17,3.3%,13.3%
r19,0.0%,0.0%
r8,3.3%,6.7%
r1,13.3%,70.0%
r30,3.3%,20.0%
r22,2.4%,4.8%
r26,40.0%,40.0%
r9,0.0%,100.0%
r14,22.2%,42.2%
r2,25.0%,30.0%
r20,75.0%,75.0%
r15,6.7%,23.3%
Total,35.9%,41.2%
