List,gaussian_mixture,kmeans
r31,33.3%,0.0%
r7,23.3%,23.3%
r10,40.0%,40.0%
r21,0.0%,0.0%
r34,80.0%,80.0%
r4,0.0%,10.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,94.3%,48.6%
r6,91.4%,94.3%
r29,90.4%,32.7%
r3,6.7%,13.3%
r24,7.5%,2.5%
r32,100.0%,100.0%
r16,46.7%,50.0%
r28,24.4%,100.0%
r25,83.3%,0.0%
r23,5.6%,16.7%
r18,6.7%,20.0%
r11,22.2%,24.4%
r27,4.0%,100.0%
r5,55.0%,42.5%
r17,3.3%,40.0%
r19,0.0%,0.0%
r8,0.0%,3.3%
r1,0.0%,70.0%
r30,0.0%,0.0%
r22,16.7%,9.5%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,31.1%,11.1%
r2,50.0%,50.0%
r20,75.0%,47.5%
r15,0.0%,0.0%
Total,42.1%,38.5%
