List,gaussian_mixture,kmeans
r31,33.3%,66.7%
r7,100.0%,0.0%
r10,20.0%,20.0%
r21,75.0%,0.0%
r34,48.6%,57.1%
r4,0.0%,10.0%
r33,100.0%,0.0%
r12,40.0%,13.3%
r13,11.4%,42.9%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,35.0%,17.5%
r32,100.0%,0.0%
r16,3.3%,66.7%
r28,33.3%,42.2%
r25,3.3%,26.7%
r23,5.6%,0.0%
r18,26.7%,6.7%
r11,22.2%,22.2%
r27,96.0%,96.0%
r5,27.5%,5.0%
r17,6.7%,0.0%
r19,100.0%,0.0%
r8,93.3%,0.0%
r1,50.0%,20.0%
r30,10.0%,43.3%
r22,2.4%,2.4%
r26,0.0%,13.3%
r9,0.0%,22.7%
r14,55.6%,0.0%
r2,15.0%,17.5%
r20,22.5%,42.5%
r15,26.7%,26.7%
Total,35.4%,24.8%
