List,gaussian_mixture,kmeans
r31,66.7%,66.7%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,60.0%,60.0%
r4,0.0%,0.0%
r33,0.0%,0.0%
r12,36.7%,40.0%
r13,34.3%,8.6%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,6.7%,80.0%
r24,22.5%,15.0%
r32,100.0%,100.0%
r16,0.0%,30.0%
r28,24.4%,24.4%
r25,20.0%,13.3%
r23,0.0%,0.0%
r18,20.0%,20.0%
r11,24.4%,20.0%
r27,100.0%,0.0%
r5,22.5%,7.5%
r17,16.7%,3.3%
r19,100.0%,100.0%
r8,93.3%,0.0%
r1,0.0%,0.0%
r30,43.3%,36.7%
r22,2.4%,4.8%
r26,40.0%,20.0%
r9,0.0%,31.8%
r14,51.1%,51.1%
r2,37.5%,2.5%
r20,32.5%,27.5%
r15,0.0%,0.0%
Total,31.8%,24.7%
