List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,2.9%,57.1%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,40.0%,40.0%
r13,34.3%,42.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,6.7%,73.3%
r24,5.0%,5.0%
r32,100.0%,100.0%
r16,70.0%,53.3%
r28,24.4%,24.4%
r25,33.3%,6.7%
r23,0.0%,0.0%
r18,10.0%,33.3%
r11,24.4%,15.6%
r27,100.0%,100.0%
r5,5.0%,27.5%
r17,0.0%,16.7%
r19,100.0%,100.0%
r8,0.0%,90.0%
r1,0.0%,60.0%
r30,36.7%,13.3%
r22,11.9%,9.5%
r26,13.3%,20.0%
r9,4.5%,0.0%
r14,66.7%,0.0%
r2,45.0%,20.0%
r20,35.0%,5.0%
r15,30.0%,20.0%
Total,29.2%,34.5%
