List,gaussian_mixture,kmeans
r31,16.7%,0.0%
r7,76.7%,76.7%
r10,20.0%,20.0%
r21,25.0%,75.0%
r34,34.3%,20.0%
r4,0.0%,20.0%
r33,100.0%,100.0%
r12,10.0%,40.0%
r13,17.1%,40.0%
r6,97.1%,74.3%
r29,36.5%,36.5%
r3,13.3%,6.7%
r24,15.0%,15.0%
r32,96.7%,0.0%
r16,36.7%,36.7%
r28,75.6%,42.2%
r25,6.7%,0.0%
r23,11.1%,0.0%
r18,23.3%,23.3%
r11,22.2%,17.8%
r27,0.0%,100.0%
r5,42.5%,27.5%
r17,13.3%,3.3%
r19,0.0%,0.0%
r8,3.3%,3.3%
r1,70.0%,70.0%
r30,23.3%,0.0%
r22,2.4%,4.8%
r26,40.0%,40.0%
r9,0.0%,100.0%
r14,15.6%,17.8%
r2,55.0%,30.0%
r20,75.0%,75.0%
r15,46.7%,13.3%
Total,36.9%,34.0%
