List,gaussian_mixture,kmeans
r31,66.7%,0.0%
r7,76.7%,76.7%
r10,60.0%,40.0%
r21,75.0%,25.0%
r34,11.4%,80.0%
r4,10.0%,10.0%
r33,100.0%,0.0%
r12,40.0%,20.0%
r13,94.3%,51.4%
r6,97.1%,2.9%
r29,90.4%,90.4%
r3,0.0%,20.0%
r24,10.0%,12.5%
r32,0.0%,100.0%
r16,46.7%,46.7%
r28,57.8%,100.0%
r25,83.3%,83.3%
r23,5.6%,5.6%
r18,10.0%,20.0%
r11,73.3%,73.3%
r27,0.0%,96.0%
r5,15.0%,57.5%
r17,16.7%,33.3%
r19,0.0%,0.0%
r8,3.3%,3.3%
r1,70.0%,70.0%
r30,0.0%,3.3%
r22,2.4%,16.7%
r26,60.0%,40.0%
r9,100.0%,0.0%
r14,51.1%,11.1%
r2,10.0%,32.5%
r20,0.0%,27.5%
r15,0.0%,80.0%
Total,40.0%,43.6%
