List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,25.0%,25.0%
r34,37.1%,54.3%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,13.3%,13.3%
r13,51.4%,51.4%
r6,97.1%,91.4%
r29,55.8%,80.8%
r3,6.7%,6.7%
r24,17.5%,17.5%
r32,100.0%,100.0%
r16,46.7%,40.0%
r28,57.8%,42.2%
r25,0.0%,83.3%
r23,16.7%,0.0%
r18,16.7%,16.7%
r11,48.9%,22.2%
r27,96.0%,0.0%
r5,42.5%,27.5%
r17,26.7%,23.3%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,70.0%,70.0%
r30,3.3%,20.0%
r22,7.1%,19.0%
r26,60.0%,60.0%
r9,0.0%,100.0%
r14,24.4%,2.2%
r2,42.5%,42.5%
r20,75.0%,20.0%
r15,80.0%,0.0%
Total,43.2%,41.8%
