List,gaussian_mixture,kmeans
r31,16.7%,83.3%
r7,100.0%,100.0%
r10,60.0%,0.0%
r21,0.0%,0.0%
r34,0.0%,5.7%
r4,0.0%,10.0%
r33,0.0%,0.0%
r12,40.0%,40.0%
r13,0.0%,57.1%
r6,2.9%,0.0%
r29,86.5%,13.5%
r3,33.3%,0.0%
r24,2.5%,2.5%
r32,100.0%,100.0%
r16,76.7%,70.0%
r28,0.0%,75.6%
r25,43.3%,10.0%
r23,0.0%,38.9%
r18,3.3%,20.0%
r11,11.1%,15.6%
r27,0.0%,96.0%
r5,7.5%,25.0%
r17,16.7%,10.0%
r19,100.0%,0.0%
r8,86.7%,90.0%
r1,73.3%,0.0%
r30,0.0%,30.0%
r22,9.5%,14.3%
r26,6.7%,20.0%
r9,27.3%,0.0%
r14,64.4%,64.4%
r2,40.0%,0.0%
r20,20.0%,60.0%
r15,30.0%,30.0%
Total,31.6%,33.0%
