List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,0.0%,100.0%
r10,0.0%,0.0%
r21,25.0%,75.0%
r34,28.6%,48.6%
r4,60.0%,0.0%
r33,100.0%,0.0%
r12,6.7%,40.0%
r13,5.7%,48.6%
r6,97.1%,0.0%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,37.5%,12.5%
r32,0.0%,100.0%
r16,3.3%,6.7%
r28,42.2%,42.2%
r25,20.0%,3.3%
r23,5.6%,5.6%
r18,23.3%,26.7%
r11,8.9%,24.4%
r27,96.0%,96.0%
r5,27.5%,55.0%
r17,0.0%,16.7%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,43.3%,3.3%
r30,6.7%,46.7%
r22,2.4%,14.3%
r26,0.0%,6.7%
r9,27.3%,0.0%
r14,44.4%,35.6%
r2,50.0%,27.5%
r20,67.5%,32.5%
r15,0.0%,30.0%
Total,28.7%,30.1%
