List,gaussian_mixture,kmeans
r31,50.0%,0.0%
r7,100.0%,100.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,0.0%,20.0%
r33,0.0%,100.0%
r12,3.3%,0.0%
r13,45.7%,42.9%
r6,0.0%,0.0%
r29,13.5%,86.5%
r3,73.3%,80.0%
r24,7.5%,7.5%
r32,100.0%,0.0%
r16,0.0%,10.0%
r28,24.4%,24.4%
r25,13.3%,23.3%
r23,0.0%,0.0%
r18,23.3%,23.3%
r11,15.6%,11.1%
r27,96.0%,96.0%
r5,7.5%,25.0%
r17,53.3%,56.7%
r19,100.0%,0.0%
r8,93.3%,0.0%
r1,33.3%,0.0%
r30,26.7%,13.3%
r22,0.0%,16.7%
r26,20.0%,13.3%
r9,36.4%,4.5%
r14,62.2%,62.2%
r2,47.5%,20.0%
r20,45.0%,0.0%
r15,0.0%,0.0%
Total,33.2%,29.6%
