List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,100.0%
r10,0.0%,20.0%
r21,75.0%,75.0%
r34,0.0%,14.3%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,23.3%
r13,94.3%,94.3%
r6,97.1%,91.4%
r29,100.0%,100.0%
r3,6.7%,13.3%
r24,2.5%,5.0%
r32,0.0%,0.0%
r16,46.7%,46.7%
r28,42.2%,42.2%
r25,6.7%,83.3%
r23,11.1%,11.1%
r18,13.3%,20.0%
r11,73.3%,2.2%
r27,0.0%,0.0%
r5,55.0%,27.5%
r17,6.7%,40.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,0.0%
r30,6.7%,23.3%
r22,7.1%,9.5%
r26,60.0%,60.0%
r9,100.0%,0.0%
r14,2.2%,40.0%
r2,60.0%,32.5%
r20,95.0%,95.0%
r15,0.0%,0.0%
Total,39.6%,40.9%
