List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,0.0%
r10,20.0%,40.0%
r21,0.0%,0.0%
r34,5.7%,60.0%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,36.7%
r13,11.4%,11.4%
r6,0.0%,97.1%
r29,13.5%,86.5%
r3,0.0%,0.0%
r24,2.5%,2.5%
r32,100.0%,100.0%
r16,30.0%,46.7%
r28,24.4%,37.8%
r25,50.0%,53.3%
r23,0.0%,0.0%
r18,0.0%,3.3%
r11,8.9%,8.9%
r27,96.0%,96.0%
r5,7.5%,7.5%
r17,6.7%,0.0%
r19,0.0%,100.0%
r8,96.7%,0.0%
r1,70.0%,70.0%
r30,33.3%,33.3%
r22,9.5%,21.4%
r26,0.0%,0.0%
r9,0.0%,13.6%
r14,44.4%,48.9%
r2,30.0%,42.5%
r20,67.5%,52.5%
r15,26.7%,0.0%
Total,29.2%,38.2%
